school code,school sector ,year_range ,Location,language ,type,formatted_address,google_place_id,input_string,latitude,longitude,postcode,type,surburb,name ,phone number ,city council,ICSEA VALUE,TEACHING STAFF,NON-TEACHING STAFF,NOT ENGLISH 2013,NOT ENGLISH 2014,NOT ENGLISH 2015,NOT ENGLISH 2016,NOT ENGLISH 2017,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
5427,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"8-26 Heyington Ave, Doncaster VIC 3108, Australia",ChIJV2WmNT9H1moR_A3U0xTqRRE,"Birralee Primary School VIC,Australia",-37.7932458,145.1132906,3108,"establishment,point_of_interest,school",Doncaster,Birralee Primary School ,03 9848 4996,Manningham (C),1150,26,14,32%,35%,36%,37%,47%,45,35,80,41.8,50,91.8,47,30,77,31.2,13,44.2,21.2,17,38.2,21,23,44,11,20,31,406.2
5120,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"2-12 Council Street, VIC 3108, Australia",ChIJ7S9q_GRH1moRUSnE-MpXddU,"Doncaster Primary School VIC,Australia",-37.7867452,145.1295735,3108,"establishment,point_of_interest,school",Doncaster,Doncaster Primary School ,03 9848 1122,Manningham (C),1099,32,10,52%,49%,56%,68%,62%,33,31,64,39,28,67,35,36,71,39,33,72,52,57,109,32,37,69,36,43,79,531
5168,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"20 Sandhurst Ave, Doncaster East VIC 3109, Australia",ChIJ2yApWn041moRjVgREqx62jM,"Doncaster Gardens Primary School VIC,Australia",-37.782157,145.1480785,3109,"establishment,point_of_interest,school",Doncaster East,Doncaster Gardens Primary School ,03 9848 5282,Manningham (C),1150,45,13,73%,72%,74%,84%,81%,50,43,93,57,43,100,49,51,100,53,40,93,62,50,112,50,25,75,53,46,99,672
4985,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Colchester Dr, Doncaster East VIC 3109, Australia",ChIJ48EN8fU41moR9DoiC2cHm5I,"Donburn Primary School VIC,Australia",-37.7876683,145.166216,3109,"establishment,point_of_interest,school",Doncaster East,Donburn Primary School ,03 9841 8099,Manningham (C),1116,27,19,28%,38%,42%,49%,56%,32,18,50,19,26,45,32,29,61,37,21,58,47,27,74,27,24,51,38,44,82,421
3139,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"2 Cassowary St, Doncaster East VIC 3109, Australia",ChIJdcWwyJI41moR0ePmhQfhEco,"Beverley Hills Primary School VIC,Australia",-37.796566,145.1596124,3109,"establishment,point_of_interest,school",Doncaster East,Beverley Hills Primary School ,03 9842 1428,Manningham (C),1147,30,11,70%,71%,82%,94%,89%,35,26,61,36,42,78,36,37,73,33,36,69,38,30,68,22,29,51,29,19,48,448
5113,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Elata St, Donvale VIC 3111, Australia",ChIJNUy6HeU41moRXVjXTl02_kA,"Donvale Primary School VIC,Australia",-37.8005095,145.1744664,3111,"establishment,point_of_interest,school",Donvale,Donvale Primary School ,03 9842 3373,Manningham (C),1089,21,8,31%,32%,27%,33%,32%,21,15,36,20,16,36,21,26,47,21,19,40,19,9,28,19,20,39,13,10,23,249
5196,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"96 Landscape Dr, East Doncaster VIC 3109, Australia",ChIJ10iGfkg41moRULo5O6T0O5k,"Milgate Primary School VIC,Australia",-37.7740433,145.1755662,3109,"establishment,point_of_interest,school",East Doncaster,Milgate Primary School ,03 9842 7744,Manningham (C),1125,38,21,42%,43%,50%,61%,56%,52,44,96,46,62,108,46,42,88,41,38,79,58,39,97,37,28,65,46,38,84,617
5234,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"31-45 Calendonia Dr, Eltham North VIC 3095, Australia",ChIJD2EQJSc21moRYpxYFJma_k4,"Glen Katherine Primary School VIC,Australia",-37.68982,145.1397426,3095,"establishment,point_of_interest,school",Eltham North,Glen Katherine Primary School ,03 9431 1599,Banyule (C),1080,37,18,4%,8%,11%,10%,13%,45,37,82,44,39,83,40,26,66,37,46,83,38,54,92,32,47,79,43.2,43,86.2,571.2
5094,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"Wattletree Rd, Eltham North VIC 3095, Australia",ChIJT6u-WjA21moRLubAB43Dz9g,"Eltham North Primary School VIC,Australia",-37.699984,145.150755,3095,"establishment,point_of_interest,school",Eltham North,Eltham North Primary School ,03 9439 9639,Nillumbik (S),1110,44,17,10%,8%,7%,7%,7%,47,37,84,50,39,89,38,47,85,50,32,82,38,47,85,46,43,89,55,27,82,596
5176,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"112 Keilor Rd, Essendon North VIC 3041, Australia",ChIJ9d7sKXdc1moRkVgHN05SZTY,"Essendon North Primary School VIC,Australia",-37.7401326,144.9037266,3041,"establishment,point_of_interest,school",Essendon North,Essendon North Primary School ,03 9379 3979,Moonee Valley (C),1097,41,16,27%,35%,40%,48%,49%,38,55,93,54,56,110,45,45,90,42,52,94,58,45,103,55,42,97,34.2,43,77.2,664.2
5038,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"111 Anderson Rd, Fawkner VIC 3060, Australia",ChIJw4nl_ktF1moRs69NAJYCDNE,"Moomba Park Primary School VIC,Australia",-37.6959891,144.9666171,3060,"establishment,point_of_interest,school",Fawkner,Moomba Park Primary School ,03 9359 2028,Moreland (C),966,22,5,70%,72%,72%,62%,73%,23,24,47,28,14,42,31,17,48,20,14,34,17,10,27,22,14,36,16,7,23,257
4705,Government,Prep-6,Major Cities,Chinese (Mandarin),primary ,"40 Lorne St, Fawkner VIC 3060, Australia",ChIJ6Wc23y5F1moR1sLJAj1VIIA,"Fawkner Primary School VIC,Australia",-37.7149987,144.9742368,3060,"establishment,point_of_interest,school",Fawkner,Fawkner Primary School ,03 9357 3579,Moreland (C),969,18,8,89%,89%,82%,84%,85%,27,20,47,22,20,42,15,20,35,16,17,33,15,5,20,11.6,12,23.6,8,14,22,222.6
8783,Government,Prep-6,Major Cities,Hindi,primary ,"Manuka Dr, Ferntree Gully VIC 3156, Australia",ChIJi9eWgmQ81moRM7NdTde3kcw,"Fairhills Primary School VIC,Australia",-37.8695063,145.2645426,3156,"establishment,point_of_interest,school",Ferntree Gully,Fairhills Primary School ,03 9758 3007,Knox (C),980,10,5,10%,12%,16%,15%,15%,4,6,10,11,11,22,8.2,11,19.2,9,13,22,9.2,8,17.2,9.2,9,18.2,13,11,24,132.6
5179,Government,Prep-6,Major Cities,Italian,primary ,"Fergie St, Fitzroy North VIC 3068, Australia",ChIJV1U1PxVD1moR7WXiJgjz_38,"Fitzroy North Primary School VIC,Australia",-37.785165,144.983997,3068,"establishment,point_of_interest,school",Fitzroy North,Fitzroy North Primary School ,03 9834 0000,Whitehorse (C),1075,61,24,51%,50%,45%,37%,36%,43,31,74,26,35,61,44.2,28,72.2,46,47,93,35,41,76,46,36.4,82.4,37,34,71,529.6
4265,Government,Prep-6,Major Cities,Italian,primary ,"Mt Alexander Rd & Padman Ln, Flemington VIC 3031, Australia",ChIJreCX0-Nc1moRdNY8sjTHs1s,"Flemington Primary School VIC,Australia",-37.7806295,144.9341068,3031,"establishment,point_of_interest,school",Flemington,Flemington Primary School ,03 9596 6099,Bayside (C),1100,34,10,50%,57%,58%,45%,55%,24,25,49,24,29,53,36,37,73,38,27,65,39,28,67,28,24,52,36,18,54,413
8857,Government,Prep-6,Major Cities,Italian,primary ,"10 Hyde St, Footscray VIC 3011, Australia",ChIJE8D83otd1moRkHB_ptvQb_w,"Footscray City Primary School VIC,Australia",-37.806008,144.899408,3011,"establishment,point_of_interest,school",Footscray,Footscray City Primary School ,03 9687 2826,Maribyrnong (C),1115,24,9,46%,42%,33%,39%,32%,41,36,77,49,39,88,37,27,64,22,22,44,15,19,34,17,13,30,12,16,28,365
2634,Government,Prep-6,Major Cities,Italian,primary ,"38/54 Jolimont Rd, Forest Hill VIC 3131, Australia",ChIJrfW1XiE_1moRmARky7wPMds,"Parkmore Primary School VIC,Australia",-37.8439445,145.1769468,3131,"establishment,point_of_interest,school",Forest Hill,Parkmore Primary School ,03 9878 5556,Whitehorse (C),1065,9,4,54%,49%,42%,45%,42%,11,13,24,7,9,16,9,9,18,10,7,17,11.4,6,17.4,9,8,17,9,13,22,131.4
1666,Government,Prep-6,Major Cities,Italian,primary ,"10 Kalmia St, Frankston VIC 3199, Australia",ChIJ2Yu-QNAK1moRAelCq9rKRmE,"Frankston Heights Primary School VIC,Australia",-38.1620052,145.1466011,3199,"establishment,point_of_interest,school",Frankston,Frankston Heights Primary School ,03 9783 4988,Frankston (C),1014,18,7,15%,11%,9%,11%,11%,38,14,52,25,19,44,20,12,32,29,19,48,15,27,42,21,23,44,12,13,25,287
4812,Government,Prep-6,Major Cities,Italian,primary ,"217 Carrick Dr, Gladstone Park VIC 3043, Australia",ChIJuSi_D0pa1moRvRzi3K1MbR8,"Gladstone Views Primary School VIC,Australia",-37.6889726,144.8981962,3043,"establishment,point_of_interest,school",Gladstone Park,Gladstone Views Primary School ,03 9338 6083,Hume (C),1009,26,14,35%,41%,43%,36%,40%,32,40,72,34,28,62,25,31,56,30,29,59,31,30,61,22,19,41,25,22,47,398
4733,Government,Prep-6,Major Cities,Italian,primary ,"217 Carrick Dr, Gladstone Park VIC 3043, Australia",ChIJuSi_D0pa1moRvRzi3K1MbR8,"Gladstone Park Primary School VIC,Australia",-37.6889726,144.8981962,3043,"establishment,point_of_interest,school",Gladstone Park,Gladstone Park Primary School ,03 9338 2774,Hume (C),998,31,15,65%,70%,65%,75%,67%,26,35,61,26,25,51,30,23.6,53.6,36,30,66,42,34,76,35,33,68,48,36,84,459.6
5039,Government,Prep-6,Major Cities,Italian,primary ,"33 Ashton St, Glen Waverley VIC 3150, Australia",ChIJI3D8yKk_1moRmu290g_eqCE,"Highvale Primary School VIC,Australia",-37.8663939,145.1739544,3150,"establishment,point_of_interest,school",Glen Waverley,Highvale Primary School ,03 9887 8000,Monash (C),1136,23,7,57%,58%,63%,73%,68%,20,18,38,25,21,46,20,26,46,22,22,44,20,12,32,23,21,44,13,22,35,285
26,Government,Prep-6,Major Cities,Italian,primary ,"55 Nottingham St, Glen Waverley VIC 3150, Australia",ChIJ2RtwQpc_1moRFQX_uINk4Wc,"Glendal Primary School VIC,Australia",-37.8663076,145.1591795,3150,"establishment,point_of_interest,school",Glen Waverley,Glendal Primary School ,03 9803 1330,Monash (C),1162,55,13,84%,92%,86%,97%,87%,52,38,90,46,49,95,60,45,105,79,81,160,88,89,177,67,62,129,63,49,112,868
4687,Government,Prep-6,Major Cities,Italian,primary ,"774 High St Rd, Glen Waverley VIC 3150, Australia",ChIJx5gE_ro_1moR8BQANidfzio,"Glen Waverley Primary School VIC,Australia",-37.8745789,145.1675315,3150,"establishment,point_of_interest,school",Glen Waverley,Glen Waverley Primary School ,03 9802 9938,Monash (C),1142,55,14,87%,94%,91%,101%,92%,55,53,108,69,45,114,56,66,122,69,42,111,71,64,135,67,45,112,75,70,145,847
4318,Government,Prep-6,Major Cities,Italian,primary ,"Morell St, Glenroy VIC 3046, Australia",ChIJO6Xu8sJa1moRVwrApsh8rtg,"Belle Vue Park Primary School VIC,Australia",-37.7007933,144.9426261,3046,"establishment,point_of_interest,school",Glenroy,Belle Vue Park Primary School ,03 9306 7900,Moreland (C),936,12,8,83%,86%,73%,78%,74%,8,14,22,14,6,20,9,9,18,12,4,16,17,7,24,12,16,28,10,6,16,144
4863,Government,Prep-6,Major Cities,Italian,primary ,"3089, 29 Mine St, Greensborough VIC 3088, Australia",ChIJfaDZTMpJ1moRRbLBlPl6Sp8,"Greenhills Primary School VIC,Australia",-37.6919358,145.1182435,3088,"establishment,point_of_interest,school",Greensborough,Greenhills Primary School ,03 9435 4181,Banyule (C),1100,32,16,7%,8%,10%,9%,13%,40,42,82,46,38,84,37,27,64,40,40,80,40,31,71,41,47,88,39,24,63,532
4860,Government,Prep-6,Major Cities,Italian,primary ,"78-98 Manningtree Rd, Hawthorn VIC 3122, Australia",ChIJg-uc_DZC1moR1cBdJEvuIBI,"Glenferrie Primary School VIC,Australia",-37.8242432,145.0337408,3122,"establishment,point_of_interest,school",Hawthorn,Glenferrie Primary School ,03 9878 9927,Whitehorse (C),1140,23,3,23%,32%,40%,42%,48%,28,23,51,39,29,68,25,18,43,27,24,51,30,18,48,23,19,42,24,20,44,347
2743,Government,Prep-6,Major Cities,Italian,primary ,"419 Tooronga Rd, Hawthorn East VIC 3123, Australia",ChIJc5-PzyFC1moRlpoKkHq1d9o,"Auburn South Primary School VIC,Australia",-37.8395225,145.0455568,3123,"establishment,point_of_interest,school",Hawthorn East,Auburn South Primary School ,03 9882 2140,Boroondara (C),1175,48,7,19%,26%,28%,36%,32%,51,46,97,60,51,111,48,55,103,54,48,102,50,51,101,41,47,88,35,30,65,667
3179,Government,Prep-6,Major Cities,Italian,primary ,"218 Roslyn Rd, Highton VIC 3216, Australia",ChIJV2bn3w4T1GoRAzKurNnH4-Q,"Highton Primary School VIC,Australia",-38.1720656,144.3172359,3216,"establishment,point_of_interest,school",Highton,Highton Primary School ,03 5243 1494,Greater Geelong (C),1101,24,7,16%,14%,9%,8%,10%,22,21,43,26,33,59,25,18,43,20,23,43,21,19,40,29,31,60,27,19,46,334
4304,Government,Prep-6,Major Cities,Italian,primary ,"178 Community Hub, Hillside VIC 3037, Australia",ChIJLfRpWsr11moRAApNikDXh14,"Parkwood Green Primary School VIC,Australia",-37.6990941,144.7446339,3037,"establishment,point_of_interest,school",Hillside,Parkwood Green Primary School ,03 9449 3600,Melton (C),1008,71,23,45%,43%,43%,42%,45%,92,76,168,72,66,138,72,71,143,75,81,156,99,78,177,90,69,159,94,81,175,1116
3585,Government,Prep-6,Major Cities,Italian,primary ,"Callistemon Dr, Hoppers Crossing VIC 3029, Australia",ChIJBxMO4RWP1moRs-o4K4I75PY,"The Grange P-12 College VIC,Australia",-37.8586824,144.6790299,3029,"establishment,point_of_interest,school,university",Hoppers Crossing,The Grange P-12 College ,03 9748 9166,Wyndham (C),965,131,59,40%,42%,46%,44%,51%,75,53.4,128.4,56.2,52,108.2,58,52,110,53,43,96,59.2,44,103.2,58,54,112,58,59,117,774.8
1434,Government,Prep-6,Major Cities,Italian,primary ,"15A Langridge St, Hoppers Crossing VIC 3029, Australia",ChIJo2my0UqP1moROaRsMgSVjak,"Mossfiel Primary School VIC,Australia",-37.8733769,144.6962482,3029,"establishment,point_of_interest,school",Hoppers Crossing,Mossfiel Primary School ,03 9749 1227,Wyndham (C),944,41,14,44%,42%,44%,42%,50%,29,25,54,40,33,73,32,36,68,28,25,53,34,30,64,36,28,64,38,39,77,453
4055,Government,Prep-6,Major Cities,Italian,primary ,"29 Carruthers Dr, Hoppers Crossing VIC 3029, Australia",ChIJ0cTvAGqP1moR7ArXoyCG7a4,"Cambridge Primary School VIC,Australia",-37.8673895,144.6756954,3029,"establishment,point_of_interest,school",Hoppers Crossing,Cambridge Primary School ,03 9748 9011,Wyndham (C),1042,64,24,45%,52%,50%,51%,56%,78,64,142,74,81,155,80,74,154,83,68,151,63,67,130,74,78,152,79,55,134,1018
5034,Government,Prep-6,Major Cities,Italian,primary ,"Brine Street, Hughesdale VIC 3166, Australia",ChIJAQfHpUxq1moRud76EntDx6w,"Hughesdale Primary School VIC,Australia",-37.9061051,145.0779385,3166,"establishment,point_of_interest,school",Hughesdale,Hughesdale Primary School ,03 9570 4808,Monash (C),1132,38,15,22%,23%,28%,36%,36%,42,36,78,42,44,86,36,46,82,42,43,85,43,34,77,34,43,77,22,32,54,539
1252,Government,Prep-6,Major Cities,Italian,primary ,"Main Rd, Hurstbridge VIC 3099, Australia",ChIJLYGAJOw01moRySSfLz2ErR0,"Hurstbridge Primary School VIC,Australia",-37.6354645,145.1981503,3099,"establishment,point_of_interest,school",Hurstbridge,Hurstbridge Primary School ,03 9718 2386,Nillumbik (S),1057,18,5,7%,6%,5%,4%,5%,13,17,30,21,16,37,21,11,32,14,18,32,24,19,43,17,30,47,20.8,20,40.8,261.8
4315,Government,Prep-6,Major Cities,Italian,primary ,"124 Waterdale Rd, Ivanhoe VIC 3079, Australia",ChIJrWEu5xtE1moRMWLL1Z8Sl-0,"Ivanhoe Primary School VIC,Australia",-37.7666928,145.0426421,3079,"establishment,point_of_interest,school",Ivanhoe,Ivanhoe Primary School ,03 9499 1880,Banyule (C),1156,44,9,32%,30%,31%,32%,35%,52.2,41,93.2,39,47,86,45,47.2,92.2,47.4,36,83.4,34,42,76,53,48,101,37.4,37,74.4,606.2
5422,Government,Prep-6,Major Cities,Italian,primary ,"35 Warncliffe Rd, Ivanhoe East VIC 3079, Australia",ChIJeU0QpaRG1moRdHF1HUbdU1g,"Ivanhoe East Primary School VIC,Australia",-37.7745967,145.059521,3079,"establishment,point_of_interest,school",Ivanhoe East,Ivanhoe East Primary School ,03 9499 2171,Banyule (C),1163,38,15,22%,18%,19%,18%,18%,36,26,62,50,39,89,33,35,68,33,38,71,51,44,95,46,38,84,43,38,81,550
5101,Government,Prep-6,Major Cities,Italian,primary ,"10 Graham Rd, Kangaroo Ground VIC 3097, Australia",ChIJYwruiqc21moREytBBt15ha8,"Kangaroo Ground Primary School VIC,Australia",-37.6907601,145.2143777,3097,"establishment,point_of_interest,school",Kangaroo Ground,Kangaroo Ground Primary School ,03 9712 0292,Nillumbik (S),1126,15,3,8%,7%,5%,5%,8%,16,11,27,15,17,32,8,8,16,11,7,18,11,12,23,12,7,19,11,10,21,156
4754,Government,Prep-6,Major Cities,Italian,primary ,"Swindon Cres, Keilor Downs VIC 3038, Australia",ChIJXZT3ST9f1moRXpdpij6D1eM,"Keilor Views Primary School VIC,Australia",-37.7171554,144.8088543,3038,"establishment,point_of_interest,school",Keilor Downs,Keilor Views Primary School ,03 9367 7466,Brimbank (C),994,33,20,58%,54%,59%,59%,61%,33,30,63,29,23,52,24,27,51,34,32,66,42,34,76,38,31,69,36,31,67,444
3146,Government,Prep-6,Major Cities,Italian,primary ,"19 Ronald Grove, Keilor East VIC 3033, Australia",ChIJfdqZqaZe1moRzJHfYv7l624,"Keilor Heights Primary School VIC,Australia",-37.7370732,144.8672774,3033,"establishment,point_of_interest,school",Keilor East,Keilor Heights Primary School ,03 9336 1739,Moonee Valley (C),1038,36,12,32%,36%,39%,39%,40%,49,30,79,35,36,71,25,45,70,47,26,73,43,38,81,37,35,72,30,37,67,513
4543,Government,Prep-6,Major Cities,Italian,primary ,"35 Kitchener St, Kew East VIC 3102, Australia",ChIJC_psjeJD1moRuV9Lplkbiv0,"Kew East Primary School VIC,Australia",-37.7962396,145.049079,3102,"establishment,point_of_interest,school",Kew East,Kew East Primary School ,03 9859 2903,Boroondara (C),1179,30,6,25%,25%,28%,28%,32%,36,33,69,30,31,61,40,38,78,35,40,75,41,31,72,26,19,45,33,38,71,471
5243,Government,Prep-6,Major Cities,Italian,primary ,"5-19 Cochrane Ave, Keysborough VIC 3173, Australia",ChIJS3boA3QT1moRJrEmH0BrvYo,"Chandler Park Primary School VIC,Australia",-37.9919531,145.1800153,3173,"establishment,point_of_interest,school",Keysborough,Chandler Park Primary School ,03 9798 2228,Greater Dandenong (C),985,32,15,74%,71%,80%,71%,81%,35,33,68,26,45,71,35,29,64,25,30,55,38,28,66,39,37,76,35,29,64,464
4770,Government,Prep-6,Major Cities,Italian,primary ,"48 Gladesville Dr, Kilsyth VIC 3137, Australia",ChIJQ9uDOFAl1moRRYpBoLfF4O8,"Gladesville Primary School VIC,Australia",-37.8117242,145.3236808,3137,"establishment,point_of_interest,school",Kilsyth,Gladesville Primary School ,03 9728 1877,Yarra Ranges (S),984,8,6,7%,7%,8%,8%,11%,11,6,17,9,3,12,9,7,16,11,4,15,11,4,15,10,5,15,9,12,21,111
4217,Government,Prep-6,Major Cities,Italian,primary ,"Kingsbury Primary School, 1A Maryborough Ave, Kingsbury VIC 3083, Australia",ChIJO6zMgvpF1moRAJq138S1uEc,"Kingsbury Primary School VIC,Australia",-37.7160831,145.0368593,3083,"establishment,point_of_interest,school",Kingsbury,Kingsbury Primary School ,03 9462 2711,Darebin (C),990,13,9,58%,62%,57%,55%,63%,16,15,31,13,16,29,11.4,14,25.4,10,11,21,15,8,23,16,10,26,11,9,20,175.4
5297,Government,Prep-6,Major Cities,Italian,primary ,"Kathryn Rd, Knoxfield VIC 3180, Australia",ChIJZ-Yavko81moRPFnvCVsw6QU,"Knox Park Primary School VIC,Australia",-37.8834526,145.2519805,3180,"establishment,point_of_interest,school",Knoxfield,Knox Park Primary School ,03 9763 6533,Knox (C),1044,22,10,10%,12%,14%,16%,15%,16,15,31,17,17,34,21,30,51,35,16,51,20,14,34,24,20,44,23,17,40,285
1003,Government,Prep-6,Major Cities,Italian,primary ,"Laura Rd, Knoxfield VIC 3180, Australia",ChIJe3hoocs91moRiGs2ViZstQg,"Carrington Primary School VIC,Australia",-37.891757,145.246467,3180,"establishment,point_of_interest,school",Knoxfield,Carrington Primary School ,03 9763 9600,Knox (C),966,8,6,25%,21%,22%,20%,23%,10,5,15,5,3,8,9,8,17,4,4,8,10,3,13,10,8.6,18.6,9,10,19,98.6
5260,Government,Prep-6,Major Cities,Italian,primary ,"235 Kingsbury Dr, Macleod VIC 3085, Australia",ChIJW5o_-g1G1moRbAqYWAofM-g,"Charles La Trobe P-12 College VIC,Australia",-37.7288696,145.0589243,3085,"establishment,point_of_interest,school",Macleod,Charles La Trobe P-12 College ,03 9223 1400,Darebin (C),938,79,65,41%,42%,42%,43%,46%,22,18,40,18,21,39,17,24,41,15,13,28,17,21,38,16,18.4,34.4,21.4,12,33.4,253.8
4212,Government,Prep-6,Major Cities,Italian,primary ,"17 Tooronga Rd, Malvern VIC 3144, Australia",ChIJO_R1CPJp1moRkBRfLwIUm50,"Malvern Primary School VIC,Australia",-37.871416,145.0384167,3144,"establishment,point_of_interest,school",Malvern,Malvern Primary School ,03 9571 6281,Stonnington (C),1185,45,5,16%,18%,21%,17%,20%,61,52,113,52,55,107,53,42,95,73,45,118,63,44,107,34,36,70,42,45,87,697
4876,Government,Prep-6,Major Cities,Italian,primary ,"Bank St, Melbourne VIC 3032, Australia",ChIJy3uQ_fpc1moReUc3oUvUR6U,"Ascot Vale Primary School VIC,Australia",-37.7746947,144.9259635,3032,"establishment,point_of_interest,school",Melbourne,Ascot Vale Primary School ,03 9370 6507,Moonee Valley (C),1118,18,9,33%,30%,31%,29%,32%,21,19,40,16,19,35,17,24,41,20,32,52,18,15,33,14,14,28,19,20,39,268
3590,Government,Prep-6,Major Cities,Italian,primary ,"Miller St, Melbourne VIC 3068, Australia",ChIJ3QgR42lD1moRAiBZNWobb9c,"Merri Creek Primary School VIC,Australia",-37.7770576,144.987818,3068,"establishment,point_of_interest,school",Melbourne,Merri Creek Primary School ,03 9481 0177,Yarra (C),1197,26,7,11%,11%,10%,13%,15%,33,32,65,36,27,63,35,35,70,32,27,59,37,31,68,28,32.6,60.6,30,28,58,443.6
4815,Government,Prep-6,Major Cities,Italian,primary ,"Civic Dr, Melbourne VIC 3088, Australia",ChIJddnnRLFJ1moR3wBEiEXPhBQ,"Apollo Parkways Primary School VIC,Australia",-37.6875952,145.1096088,3088,"establishment,point_of_interest,school",Melbourne,Apollo Parkways Primary School ,03 9433 1300,Nillumbik (S),1094,49,18,30%,26%,28%,34%,30%,56,60,116,45,66,111,51,64,115,61,64,125,43,56,99,71,61,132,62,54,116,814
5093,Government,Prep-6,Major Cities,Italian,primary ,"Buchanan Ave, Melbourne VIC 3104, Australia",ChIJN8b1iTNB1moRhUo4TCg5ODI,"Balwyn North Primary School VIC,Australia",-37.7960551,145.07664,3104,"establishment,point_of_interest,school",Melbourne,Balwyn North Primary School ,03 9859 4258,Boroondara (C),1150,31,10,66%,67%,70%,69%,76%,30,30,60,29,35,64,28,25,53,32,27,59,44,26.4,70.4,40,34,74,53,35,88,468.4
5007,Government,Prep-6,Major Cities,Italian,primary ,"Rathmines Rd, Melbourne VIC 3123, Australia",ChIJf6hIXn5B1moReagYgkE3XF0,"Auburn Primary School VIC,Australia",-37.8196025,145.0505434,3123,"establishment,point_of_interest,school",Melbourne,Auburn Primary School ,03 9882 7035,Boroondara (C),1169,38,9,22%,25%,26%,28%,28%,39,47,86,50,29,79,38,44,82,46,36,82,37,41,78,29,29,58,23,25,48,513
5453,Government,Prep-6,Major Cities,Italian,primary ,"1-7 Broome Ave, Mentone VIC 3194, Australia",ChIJmViXLVJs1moRvK27UqlV0GA,"Mentone Park Primary School VIC,Australia",-37.979852,145.0824853,3194,"establishment,point_of_interest,school",Mentone,Mentone Park Primary School ,03 9583 4935,Kingston (C),1088,21,9,19%,20%,21%,22%,22%,20,10,30,25,17,42,18,25,43,26,26,52,19,25,44,23,21,44,14,22,36,291
4893,Government,Prep-6,Major Cities,Italian,primary ,"Blamey Ave, Mill Park VIC 3082, Australia",ChIJ896F4SZJ1moRScHjiOyof_4,"Mill Park Primary School VIC,Australia",-37.6748875,145.0658047,3082,"establishment,point_of_interest,school",Mill Park,Mill Park Primary School ,03 9404 3337,Whittlesea (C),1041,35,18,34%,40%,45%,50%,53%,44,38,82,39,34,73,23,37,60,47,30,77,38.4,43,81.4,35,52,87,29,45,74,534.4
1508,Government,Prep-6,Major Cities,Italian,primary ,"Pindari Ave, Mill Park VIC 3082, Australia",ChIJK9FeYjVJ1moRj_Xj6ugFh9k,"Mill Park Heights Primary School VIC,Australia",-37.6573335,145.0507484,3082,"establishment,point_of_interest,school",Mill Park,Mill Park Heights Primary School ,03 9436 8866,Whittlesea (C),1015,70,23,56%,57%,57%,60%,58%,70,67,137,75,67,142,60,70,130,73,68,141,78,74,152,68,63,131,81,61,142,975
304,Government,Prep-6,Major Cities,Italian,primary ,"87 Wilson St, Moonee Ponds VIC 3039, Australia",ChIJjY_lIZNc1moRaPCX3_7mLKo,"Moonee Ponds Primary School VIC,Australia",-37.7630431,144.9333103,3039,"establishment,point_of_interest,school",Moonee Ponds,Moonee Ponds Primary School ,03 9375 2511,Moonee Valley (C),1130,22,9,35%,40%,38%,41%,39%,36,40,76,29,26,55,28,27,55,24.4,30,54.4,26,15,41,16,18,34,22,18,40,355.4
5480,Government,Prep-6,Major Cities,Italian,primary ,"52 Landscape Dr, Mooroolbark VIC 3138, Australia",ChIJ-3xAyjIu1moROlGPGbRvrBI,"Rolling Hills Primary School VIC,Australia",-37.767244,145.326558,3138,"establishment,point_of_interest,school",Mooroolbark,Rolling Hills Primary School ,03 9726 4454,Yarra Ranges (S),1034,24,24,1%,2%,3%,4%,4%,31.2,28,59.2,19,22,41,27,26,53,26.2,23,49.2,20,34,54,34,15,49,36,20.4,56.4,361.8
5002,Government,Prep-6,Major Cities,Italian,primary ,"25 Pembroke Rd, Mooroolbark VIC 3138, Australia",ChIJ8S7w4O4v1moRuyypf-20cxM,"Pembroke Primary School VIC,Australia",-37.7966093,145.3271592,3138,"establishment,point_of_interest,school",Mooroolbark,Pembroke Primary School ,03 9725 6689,Yarra Ranges (S),906,10,5,22%,35%,50%,62%,60%,6,4,10,7,6,13,7,7,14,5,2,7,7,8,15,13,0,13,7,6,13,85
